Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),ISSUES (CHECK 21),STATUS (CHECK 22),TIME (CHECK 22),ISSUES (CHECK 22),DEPTH
FARTCOIN_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$21.3K / $22.8K
FLOKI_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$16.6K / $20.0K
HYPE_USDT,WARNING,00:03:38,A2:HIGH,WARNING,00:56:42,A2:HIGH,WARNING,03:29:23,A2:HIGH,CHECKED,04:53:24,A2:HIGH,WARNING,06:16:30,A2:HIGH,WARNING,07:04:47,A2:HIGH,WARNING,08:30:12,A2:HIGH,CHECKED,09:09:38,A2:HIGH,WARNING,10:09:04,A2:HIGH,WARNING,11:02:52,A2:HIGH,CHECKED,11:59:49,A2:HIGH,WARNING,12:53:16,A2:HIGH,WARNING,14:21:33,A2:HIGH,WARNING,15:05:45,A2:HIGH,WARNING,15:58:21,A2:HIGH,WARNING,16:54:58,A2:HIGH,WARNING,18:01:44,A2:HIGH,CHECKED,18:56:06,A2:HIGH,WARNING,20:08:39,A2:HIGH,WARNING,20:52:48,A2:HIGH,WARNING,21:57:22,A2:HIGH,WARNING,22:54:53,A2:HIGH,$16.1K / $19.7K
LINK_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,A2:HIGH,CHECKED,03:29:23,A2:HIGH,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,A2:HIGH,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$41.0K / $43.5K
LSK_USDT,CHECKED,00:03:38,A4:MEDIUM,CHECKED,00:56:42,A4:MEDIUM,CHECKED,03:29:23,,CHECKED,04:53:24,A4:MEDIUM,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,A4:MEDIUM,CHECKED,09:09:38,A4:MEDIUM,CHECKED,10:09:04,A4:MEDIUM,CHECKED,11:02:52,,SKIPPED,,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,A4:MEDIUM,CHECKED,18:01:44,,CHECKED,18:56:06,A4:MEDIUM,CHECKED,20:08:39,A4:MEDIUM,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$9.1K / $10.7K
LTC_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$94.1K / $94.1K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$15.2K / $19.2K
POL_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$114.7K / $137.7K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$27.6K / $27.6K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,WARNING,16:54:58,A2:HIGH,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$26.3K / $31.3K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:03:38,A4:MEDIUM,CHECKED,00:56:42,A4:MEDIUM,CHECKED,03:29:23,A4:MEDIUM,CHECKED,04:53:24,A4:MEDIUM,CHECKED,06:16:30,A4:MEDIUM,CHECKED,07:04:47,A4:MEDIUM,CHECKED,08:30:12,A4:MEDIUM,CHECKED,09:09:38,A4:MEDIUM,CHECKED,10:09:04,,CHECKED,11:02:52,A4:MEDIUM,CHECKED,11:59:49,,CHECKED,12:53:16,A4:MEDIUM,CHECKED,14:21:33,A4:MEDIUM,CHECKED,15:05:45,,CHECKED,15:58:21,A4:MEDIUM,CHECKED,16:54:58,,CHECKED,18:01:44,A4:MEDIUM,CHECKED,18:56:06,,CHECKED,20:08:39,A4:MEDIUM,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,A4:MEDIUM,$4.9K / $5.3K
TON_USDT,CHECKED,00:03:38,A4:MEDIUM,CHECKED,00:56:42,,CHECKED,03:29:23,A4:MEDIUM,CHECKED,04:53:24,A4:MEDIUM,CHECKED,06:16:30,A4:MEDIUM,CHECKED,07:04:47,A4:MEDIUM,CHECKED,08:30:12,A4:MEDIUM,CHECKED,09:09:38,A4:MEDIUM,CHECKED,10:09:04,,CHECKED,11:02:52,A4:MEDIUM,CHECKED,11:59:49,A4:MEDIUM,CHECKED,12:53:16,A4:MEDIUM,CHECKED,14:21:33,A4:MEDIUM,CHECKED,15:05:45,A4:MEDIUM,CHECKED,15:58:21,A4:MEDIUM,CHECKED,16:54:58,A4:MEDIUM,CHECKED,18:01:44,A4:MEDIUM,CHECKED,18:56:06,,CHECKED,20:08:39,A4:MEDIUM,CHECKED,20:52:48,,CHECKED,21:57:22,A4:MEDIUM,CHECKED,22:54:53,,$5.0K / $5.9K
TRX_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$693.9K / $693.9K
USDC_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$898.3K / $1.35M
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,A2:HIGH,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,A2:HIGH,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$64.7K / $64.7K
XRP_USDT,CHECKED,00:03:38,,CHECKED,00:56:42,,CHECKED,03:29:23,,CHECKED,04:53:24,,CHECKED,06:16:30,,CHECKED,07:04:47,,CHECKED,08:30:12,,CHECKED,09:09:38,,CHECKED,10:09:04,,CHECKED,11:02:52,,CHECKED,11:59:49,,CHECKED,12:53:16,,CHECKED,14:21:33,,CHECKED,15:05:45,,CHECKED,15:58:21,,CHECKED,16:54:58,,CHECKED,18:01:44,,CHECKED,18:56:06,,CHECKED,20:08:39,,CHECKED,20:52:48,,CHECKED,21:57:22,,CHECKED,22:54:53,,$98.3K / $98.3K
XYO_USDT,CHECKED,00:03:38,A4:MEDIUM,CHECKED,00:56:42,A4:MEDIUM,CHECKED,03:29:23,A4:MEDIUM,CHECKED,04:53:24,A4:MEDIUM,CHECKED,06:16:30,A4:MEDIUM,CHECKED,07:04:47,A4:MEDIUM,CHECKED,08:30:12,A4:MEDIUM,CHECKED,09:09:38,A4:MEDIUM,CHECKED,10:09:04,A4:MEDIUM,CHECKED,11:02:52,A4:MEDIUM,CHECKED,11:59:49,A4:MEDIUM,CHECKED,12:53:16,A4:MEDIUM,CHECKED,14:21:33,A4:MEDIUM,CHECKED,15:05:45,A4:MEDIUM,CHECKED,15:58:21,A4:MEDIUM,CHECKED,16:54:58,A4:MEDIUM,CHECKED,18:01:44,A4:MEDIUM,CHECKED,18:56:06,A4:MEDIUM,CHECKED,20:08:39,A4:MEDIUM,CHECKED,20:52:48,A4:MEDIUM,CHECKED,21:57:22,A4:MEDIUM,CHECKED,22:54:53,A4:MEDIUM,$752 / $927
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
