Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),ISSUES (CHECK 21),STATUS (CHECK 22),TIME (CHECK 22),ISSUES (CHECK 22),DEPTH
DASH_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$32.7K / $35.3K
DOT_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,A4:MEDIUM,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,A2:HIGH,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$7.8K / $8.5K
DOGE_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,A2:HIGH,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$22.0K / $24.8K
ETH_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,A2:HIGH,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$285.6K / $380.5K
FARTCOIN_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$33.9K / $38.2K
FLOKI_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$13.1K / $15.8K
HYPE_USDT,WARNING,00:46:19,A2:HIGH,WARNING,03:01:50,A2:HIGH,CHECKED,04:20:39,A2:HIGH,WARNING,05:09:14,A2:HIGH,WARNING,06:03:00,A2:HIGH,CHECKED,06:59:26,A2:HIGH,CHECKED,08:17:54,A2:HIGH,CHECKED,09:08:18,A2:HIGH,WARNING,10:08:47,A2:HIGH,CHECKED,10:59:48,A2:HIGH,CHECKED,12:00:42,A2:HIGH,WARNING,13:35:20,A2:HIGH,CHECKED,14:21:29,A2:HIGH,CHECKED,15:15:47,A2:HIGH,CHECKED,16:14:45,A2:HIGH,CHECKED,17:09:21,A2:HIGH,CHECKED,18:05:09,A2:HIGH,CHECKED,18:54:45,A2:HIGH,CHECKED,20:08:43,A2:HIGH,CHECKED,20:55:36,A2:HIGH,CHECKED,21:56:04,A2:HIGH,WARNING,22:52:54,A2:HIGH,$37.1K / $40.2K
LINK_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,A2:HIGH,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$43.0K / $43.0K
LSK_USDT,CHECKED,00:46:19,A4:MEDIUM,CHECKED,03:01:50,A4:MEDIUM,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$9.3K / $11.3K
LTC_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$68.7K / $68.7K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$29.1K / $39.5K
POL_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$164.7K / $164.7K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,WARNING,05:09:14,A1:CRITICAL|A2:HIGH|A4:MEDIUM,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$49.4K / $50.6K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,A2:HIGH,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$78.8K / $99.2K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:46:19,A4:MEDIUM,CHECKED,03:01:50,A4:MEDIUM,CHECKED,04:20:39,A4:MEDIUM,CHECKED,05:09:14,A4:MEDIUM,CHECKED,06:03:00,A4:MEDIUM,CHECKED,06:59:26,A4:MEDIUM,CHECKED,08:17:54,A4:MEDIUM,CHECKED,09:08:18,A4:MEDIUM,CHECKED,10:08:47,A4:MEDIUM,CHECKED,10:59:48,A4:MEDIUM,CHECKED,12:00:42,,CHECKED,13:35:20,A4:MEDIUM,CHECKED,14:21:29,A4:MEDIUM,CHECKED,15:15:47,,CHECKED,16:14:45,A4:MEDIUM,CHECKED,17:09:21,,CHECKED,18:05:09,A4:MEDIUM,CHECKED,18:54:45,,CHECKED,20:08:43,A4:MEDIUM,CHECKED,20:55:36,,CHECKED,21:56:04,A4:MEDIUM,CHECKED,22:52:54,A4:MEDIUM,$3.2K / $4.7K
TON_USDT,CHECKED,00:46:19,A4:MEDIUM,CHECKED,03:01:50,A4:MEDIUM,CHECKED,04:20:39,A4:MEDIUM,CHECKED,05:09:14,A4:MEDIUM,CHECKED,06:03:00,A4:MEDIUM,CHECKED,06:59:26,,CHECKED,08:17:54,A4:MEDIUM,CHECKED,09:08:18,A4:MEDIUM,CHECKED,10:08:47,A4:MEDIUM,CHECKED,10:59:48,A4:MEDIUM,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,A4:MEDIUM,CHECKED,15:15:47,A4:MEDIUM,CHECKED,16:14:45,A4:MEDIUM,CHECKED,17:09:21,A4:MEDIUM,CHECKED,18:05:09,A4:MEDIUM,CHECKED,18:54:45,A4:MEDIUM,CHECKED,20:08:43,A4:MEDIUM,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,A4:MEDIUM,$5.0K / $6.7K
TRX_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$719.8K / $719.8K
USDC_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,A2:HIGH,CHECKED,05:09:14,A2:HIGH,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$238.8K / $238.8K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,A2:HIGH,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$108.8K / $108.8K
XRP_USDT,CHECKED,00:46:19,,CHECKED,03:01:50,,CHECKED,04:20:39,,CHECKED,05:09:14,,CHECKED,06:03:00,,CHECKED,06:59:26,,CHECKED,08:17:54,,CHECKED,09:08:18,,CHECKED,10:08:47,,CHECKED,10:59:48,,CHECKED,12:00:42,,CHECKED,13:35:20,,CHECKED,14:21:29,,CHECKED,15:15:47,,CHECKED,16:14:45,,CHECKED,17:09:21,,CHECKED,18:05:09,,CHECKED,18:54:45,,CHECKED,20:08:43,,CHECKED,20:55:36,,CHECKED,21:56:04,,CHECKED,22:52:54,,$80.9K / $80.9K
XYO_USDT,CHECKED,00:46:19,A4:MEDIUM,CHECKED,03:01:50,A4:MEDIUM,CHECKED,04:20:39,A4:MEDIUM,CHECKED,05:09:14,A4:MEDIUM,CHECKED,06:03:00,A4:MEDIUM,CHECKED,06:59:26,A4:MEDIUM,CHECKED,08:17:54,A4:MEDIUM,CHECKED,09:08:18,A4:MEDIUM,CHECKED,10:08:47,A4:MEDIUM,CHECKED,10:59:48,A4:MEDIUM,CHECKED,12:00:42,A4:MEDIUM,CHECKED,13:35:20,A4:MEDIUM,CHECKED,14:21:29,A4:MEDIUM,CHECKED,15:15:47,A4:MEDIUM,CHECKED,16:14:45,A4:MEDIUM,CHECKED,17:09:21,A4:MEDIUM,CHECKED,18:05:09,A4:MEDIUM,CHECKED,18:54:45,A4:MEDIUM,CHECKED,20:08:43,A4:MEDIUM,CHECKED,20:55:36,A4:MEDIUM,CHECKED,21:56:04,A4:MEDIUM,CHECKED,22:52:54,A4:MEDIUM,$1.6K / $2.3K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
