Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),ISSUES (CHECK 21),DEPTH
DASH_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,WARNING,12:44:30,A2:HIGH|A4:MEDIUM,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$15.9K / $16.9K
DOT_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$12.4K / $15.0K
DOGE_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$16.2K / $17.9K
ETH_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$167.9K / $234.3K
FARTCOIN_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$23.0K / $24.9K
FLOKI_USDT,SKIPPED,,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,WARNING,20:43:54,A2:HIGH|A2:HIGH,CHECKED,21:47:39,,$15.2K / $17.9K
HYPE_USDT,WARNING,00:44:44,A2:HIGH,WARNING,03:06:03,A2:HIGH,CHECKED,04:21:45,A2:HIGH,WARNING,05:08:46,A2:HIGH,CHECKED,05:58:56,A2:HIGH,CHECKED,06:53:26,A2:HIGH,WARNING,08:09:17,A2:HIGH,WARNING,08:54:02,A2:HIGH,WARNING,09:56:09,A2:HIGH,CHECKED,10:52:09,A2:HIGH,CHECKED,11:49:06,A2:HIGH,WARNING,12:44:30,A2:HIGH,WARNING,14:09:58,A2:HIGH,CHECKED,14:53:17,A2:HIGH,CHECKED,15:48:30,A2:HIGH,WARNING,16:45:41,A2:HIGH,CHECKED,17:51:00,A2:HIGH,CHECKED,18:44:24,A2:HIGH,WARNING,19:55:26,A2:HIGH,WARNING,20:43:54,A2:HIGH,WARNING,21:47:39,A2:HIGH,$12.7K / $13.7K
LINK_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,A2:HIGH,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,A2:HIGH,CHECKED,15:48:30,A2:HIGH,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$30.1K / $30.1K
LSK_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,A4:MEDIUM,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$7.2K / $10.7K
LTC_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$88.8K / $88.8K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$11.1K / $15.9K
POL_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$93.5K / $120.8K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$22.1K / $22.1K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,A2:HIGH|A4:MEDIUM,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$22.4K / $26.5K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:44:44,A4:MEDIUM,WARNING,03:06:03,A2:HIGH|A2:HIGH|A4:MEDIUM,CHECKED,04:21:45,,CHECKED,05:08:46,A4:MEDIUM,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,A4:MEDIUM,CHECKED,10:52:09,,CHECKED,11:49:06,A4:MEDIUM,CHECKED,12:44:30,A4:MEDIUM,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,A4:MEDIUM,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,A4:MEDIUM,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$5.5K / $6.3K
TON_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,A4:MEDIUM,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,A4:MEDIUM,CHECKED,08:09:17,,CHECKED,08:54:02,A4:MEDIUM,CHECKED,09:56:09,A4:MEDIUM,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,A4:MEDIUM,CHECKED,16:45:41,A4:MEDIUM,CHECKED,17:51:00,A4:MEDIUM,CHECKED,18:44:24,,CHECKED,19:55:26,A4:MEDIUM,CHECKED,20:43:54,,CHECKED,21:47:39,A4:MEDIUM,$4.9K / $5.9K
TRX_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$350.5K / $350.5K
USDC_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$1.01M / $1.41M
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$95.5K / $95.5K
XRP_USDT,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$95.2K / $95.2K
XYO_USDT,CHECKED,00:44:44,A4:MEDIUM,CHECKED,03:06:03,A4:MEDIUM,CHECKED,04:21:45,A4:MEDIUM,CHECKED,05:08:46,A4:MEDIUM,CHECKED,05:58:56,A4:MEDIUM,CHECKED,06:53:26,A4:MEDIUM,CHECKED,08:09:17,A4:MEDIUM,CHECKED,08:54:02,A4:MEDIUM,CHECKED,09:56:09,A4:MEDIUM,CHECKED,10:52:09,A4:MEDIUM,CHECKED,11:49:06,A4:MEDIUM,CHECKED,12:44:30,A4:MEDIUM,CHECKED,14:09:58,A4:MEDIUM,CHECKED,14:53:17,A4:MEDIUM,CHECKED,15:48:30,A4:MEDIUM,CHECKED,16:45:41,A4:MEDIUM,CHECKED,17:51:00,A4:MEDIUM,CHECKED,18:44:24,A4:MEDIUM,CHECKED,19:55:26,A4:MEDIUM,CHECKED,20:43:54,A4:MEDIUM,CHECKED,21:47:39,A4:MEDIUM,$1.5K / $1.8K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:44:44,,CHECKED,03:06:03,,CHECKED,04:21:45,,CHECKED,05:08:46,,CHECKED,05:58:56,,CHECKED,06:53:26,,CHECKED,08:09:17,,CHECKED,08:54:02,,CHECKED,09:56:09,,CHECKED,10:52:09,,CHECKED,11:49:06,,CHECKED,12:44:30,,CHECKED,14:09:58,,CHECKED,14:53:17,,CHECKED,15:48:30,,CHECKED,16:45:41,,CHECKED,17:51:00,,CHECKED,18:44:24,,CHECKED,19:55:26,,CHECKED,20:43:54,,CHECKED,21:47:39,,$3915.40M / $3915.40M
USDT_NGN,CHECKED,00:44:44,A2:HIGH,CHECKED,03:06:03,A2:HIGH,CHECKED,04:21:45,A2:HIGH,CHECKED,05:08:46,A2:HIGH,CHECKED,05:58:56,A2:HIGH,CHECKED,06:53:26,A2:HIGH,CHECKED,08:09:17,A2:HIGH,CHECKED,08:54:02,A2:HIGH,CHECKED,09:56:09,A2:HIGH,CHECKED,10:52:09,A2:HIGH,CHECKED,11:49:06,A2:HIGH,CHECKED,12:44:30,A2:HIGH,CHECKED,14:09:58,A2:HIGH,CHECKED,14:53:17,A2:HIGH,CHECKED,15:48:30,A2:HIGH,CHECKED,16:45:41,A2:HIGH,CHECKED,17:51:00,A2:HIGH,CHECKED,18:44:24,A2:HIGH,CHECKED,19:55:26,A2:HIGH,CHECKED,20:43:54,A2:HIGH,CHECKED,21:47:39,A2:HIGH,$672.05M / $908.37M
